verb-eng,noun-eng,modal-eng,verb-ger,noun-ger,modal-ger,noun-tur,verb-tur,modal-tur,phrase-eng,phrase-ger,phrase_cutoff_after_subject-eng,phrase_cutoff_after_subject-ger,phrase-tur,phrase_cutoff_after_subject-tur,phrase-zho,modal-zho,noun-zho,verb-zho,phrase_cutoff_after_subject-zho
count,mathematician,wants to,rechnen,Mathematiker,will,matematikçi,saymak,istiyor,the mathematician wants to count,der Mathematiker will rechnen,the mathematician,der Mathematiker,matematikçi saymak istiyor,matematikçi,数学家渴望计算,渴望,数学家,计算,数学家
die,spider,wants to,sterben,Spinne,will,örümcek,ölmek,istiyor,the spider wants to die,die Spinne will sterben,the spider,die Spinne,örümcek ölmek istiyor,örümcek,蜘蛛渴望死去,渴望,蜘蛛,死去,蜘蛛
run,boy,wants to,rennen,Junge,will,çocuk,koşmak,istiyor,the boy wants to run,der Junge will rennen,the boy,der Junge,çocuk koşmak istiyor,çocuk,男孩渴望奔跑,渴望,男孩,奔跑,男孩
laugh,architect,wants to,lachen,Architekt,will,mimar,gülmek,istiyor,the architect wants to laugh,der Architekt will lachen,the architect,der Architekt,mimar gülmek istiyor,mimar,建筑师渴望欢笑,渴望,建筑师,欢笑,建筑师
work,man,wants to,arbeiten,Mann,will,adam,çalışmak,istiyor,the man wants to work,der Mann will arbeiten,the man,der Mann,adam çalışmak istiyor,adam,男人渴望劳作,渴望,男人,劳作,男人
sleep,teacher,wants to,schlafen,Lehrer,will,öğretmen,uyumak,istiyor,the teacher wants to sleep,der Lehrer will schlafen,the teacher,der Lehrer,öğretmen uyumak istiyor,öğretmen,教师渴望入眠,渴望,教师,入眠,教师
write,student,wants to,schreiben,Student,will,öğrenci,yazmak,istiyor,the student wants to write,der Student will schreiben,the student,der Student,öğrenci yazmak istiyor,öğrenci,学生渴望书写,渴望,学生,书写,学生
walk,person,wants to,gehen,Mensch,will,kişi,yürütmek,istiyor,the person wants to walk,der Mensch will gehen,the person,der Mensch,kişi yürütmek istiyor,kişi,行者渴望前行,渴望,行者,前行,行者
dance,woman,wants to,tanzen,Frau,will,kadın,dans,istiyor,the woman wants to dance,die Frau will tanzen,the woman,die Frau,kadın dans etmek istiyor,kadın,女子渴望起舞,渴望,女子,起舞,女子
agree,biologist,wants to,zustimmen,Biologe,will,biyolog,kabul,istiyor,the biologist wants to agree,der Biologe will zustimmen,the biologist,der Biologe,biyolog kabul etmek istiyor,biyolog,生物学家渴望认同,渴望,生物学家,认同,生物学家
