object-eng,verb-eng,subject-eng,past_simple-eng,past_participle-eng,subject_article-ger,subject_noun-ger,auxiliary-ger,object_article-ger,object_noun-ger,past_participle-ger,verb-ger,praeteritum-ger,phrase_simple-eng,phrase_participle-eng,phrase_praeteritum-ger,phrase_participle-ger,phrase-ger-cutoff_after_subject_noun,phrase_cutoff_after_auxiliary-ger,phrase-ger-cutoff_after_object_noun,phrase-empty,phrase-fre,phrase_cutoff_after_auxiliary-fre,subject_article-fre,subject_noun-fre,past_participle-fre,object_article-fre,object_noun-fre
angle,measure,mathematician,measured,measured,Der,Mathematiker,hat,den,Winkel,gemessen,messen,maß,The mathematician measured the angle,The mathematician has measured the angle,Der Mathematiker maß den Winkel,Der Mathematiker hat den Winkel gemessen,Der Mathematiker,Der Mathematiker hat,Der Mathematiker hat den Winkel,,Le mathématicien a mesuré l'angle,Le mathématicien a,Le,mathématicien,mesuré,l',angle
ant,kill,spider,killed,killed,Die,Spinne,hat,die,Ameise,getötet,töten,tötete,The spider killed the ant,The spider has killed the ant,Die Spinne tötete die Ameise,Die Spinne hat die Ameise getötet,Die Spinne,Die Spinne hat,Die Spinne hat die Ameise,,L'araignée a tué la fourmi,L'araignée a,L',araignée,tué,la,fourmi
apple,eat,boy,ate,eaten,Der,Junge,hat,den,Apfel,gegessen,essen,aß,The boy ate the apple,The boy has eaten the apple,Der Junge aß den Apfel,Der Junge hat den Apfel gegessen,Der Junge,Der Junge hat,Der Junge hat den Apfel,,Le garçon a mangé la pomme,Le garçon a,Le,garçon,mangé,la,pomme
arch,build,architect,built,built,Der,Architekt,hat,den,Bogen,gebaut,bauen,baute,The architect built the arch,The architect has built the arch,Der Architekt baute den Bogen,Der Architekt hat den Bogen gebaut,Der Architekt,Der Architekt hat,Der Architekt hat den Bogen,,L'architecte a construit l'arche,L'architecte a,L',architecte,construit,l',arche
arm,grab,man,grabbed,grabbed,Der,Mann,hat,den,Arm,gepackt,packen,packte,The man grabbed the arm,The man has grabbed the arm,Der Mann packte den Arm,Der Mann hat den Arm gepackt,Der Mann,Der Mann hat,Der Mann hat den Arm,,L'homme a attrapé le bras,L'homme a,L',homme,attrapé,le,bras
army,attack,general,attacked,attacked,Der,General,hat,die,Armee,angegriffen,angreifen,griff,The general attacked the army,The general has attacked the army,Der General griff die Armee an,Der General hat die Armee angegriffen,Der General,Der General hat,Der General hat die Armee,,Le général a attaqué l'armée,Le général a,Le,général,attaqué,l',armée
baby,hold,mother,held,held,Die,Mutter,hat,das,Baby,gehalten,halten,hielt,The mother held the baby,The mother has held the baby,Die Mutter hielt das Baby,Die Mutter hat das Baby gehalten,Die Mutter,Die Mutter hat,Die Mutter hat das Baby,,La mère a tenu le bébé,La mère a,La,mère,tenu,le,bébé
bag,fill,worker,filled,filled,Der,Arbeiter,hat,die,Tasche,gefüllt,füllen,füllte,The worker filled the bag,The worker has filled the bag,Der Arbeiter füllte die Tasche,Der Arbeiter hat die Tasche gefüllt,Der Arbeiter,Der Arbeiter hat,Der Arbeiter hat die Tasche,,L'ouvrier a rempli le sac,L'ouvrier a,L',ouvrier,rempli,le,sac
ball,kick,sportsman,kicked,kicked,Der,Sportler,hat,den,Ball,getreten,treten,trat,The sportsman kicked the ball,The sportsman has kicked the ball,Der Sportler trat den Ball,Der Sportler hat den Ball getreten,Der Sportler,Der Sportler hat,Der Sportler hat den Ball,,Le sportif a frappé le ballon,Le sportif a,Le,sportif,frappé,le,ballon
band,stretch,jogger,stretched,stretched,Der,Jogger,hat,das,Band,gedehnt,dehnen,dehnte,The jogger stretched the band,The jogger has stretched the band,Der Jogger dehnte das Band,Der Jogger hat das Band gedehnt,Der Jogger,Der Jogger hat,Der Jogger hat das Band,,Le jogger a étiré la bande,Le jogger a,Le,jogger,étiré,la,bande
basin,clean,janitor,cleaned,cleaned,Der,Hausmeister,hat,das,Becken,gereinigt,reinigen,reinigte,The janitor cleaned the basin,The janitor has cleaned the basin,Der Hausmeister reinigte das Becken,Der Hausmeister hat das Becken gereinigt,Der Hausmeister,Der Hausmeister hat,Der Hausmeister hat das Becken,,Le concierge a nettoyé le bassin,Le concierge a,Le,concierge,nettoyé,le,bassin
basket,bring,teacher,brought,brought,Der,Lehrer,hat,den,Korb,gebracht,bringen,brachte,The teacher brought the basket,The teacher has brought the basket,Der Lehrer brachte den Korb,Der Lehrer hat den Korb gebracht,Der Lehrer,Der Lehrer hat,Der Lehrer hat den Korb,,Le professeur a apporté le panier,Le professeur a,Le,professeur,apporté,le,panier
bath,see,person,saw,seen,Die,Person,hat,die,Badewanne,gesehen,sehen,sah,The person saw the bath,The person has seen the bath,Die Person sah die Badewanne,Die Person hat die Badewanne gesehen,Die Person,Die Person hat,Die Person hat die Badewanne,,La personne a vu la baignoire,La personne a,La,personne,vu,la,baignoire
bed,buy,woman,bought,bought,Die,Frau,hat,das,Bett,gekauft,kaufen,kaufte,The woman bought the bed,The woman has bought the bed,Die Frau kaufte das Bett,Die Frau hat das Bett gekauft,Die Frau,Die Frau hat,Die Frau hat das Bett,,La femme a acheté le lit,La femme a,La,femme,acheté,le,lit
bee,catch,biologist,caught,caught,Der,Biologe,hat,die,Biene,gefangen,fangen,fing,The biologist caught the bee,The biologist has caught the bee,Der Biologe fing die Biene,Der Biologe hat die Biene gefangen,Der Biologe,Der Biologe hat,Der Biologe hat die Biene,,Le biologiste a attrapé l'abeille,Le biologiste a,Le,biologiste,attrapé,l',abeille
