noun_ger,noun_eng,verb_ger,verb_eng,prefix,pres_1,pres_3,impf_1,impf_3,perf_ger,perf_eng,past_eng,cm,coll_freq,logdice,noun_freq
Apfel,apple,essen,eat,,,,,aß,gegessen,eaten,ate,Apfel essen,3430,7.99,314787
Apfel,apple,schälen,peel,,,,,schälte,geschält,peeled,peeled,Apfel schälen,1959,9.58,314787
Apfel,apple,schneiden,cut,,,,,schnitt,geschnitten,cut,cut,Apfel in kleine Stücke schneiden,1212,6.73,314787
Apfel,apple,nehmen,take,,,,,nahm,genommen,taken,took,Apfel nehmen,1150,2.72,314787
Apfel,apple,waschen,wash,,,,,wusch,gewaschen,washed,washed,Apfel waschen,797,7.05,314787
Apfel,apple,finden,find,,,,,fand,gefunden,found,found,Apfel gefunden,410,0.49,314787
Apfel,apple,reiben,rub,,,,,rieb,gerieben,rubbed,rubbed,Apfel reiben,395,6.99,314787
Apfel,apple,halten,hold,,,,,hielt,gehalten,held,held,Apfel hält,358,1.91,314787
Apfel,apple,sehen,see,,,,,sah,gesehen,seen,saw,Apfel gesehen,355,1.42,314787
Apfel,apple,entkernen,core,,,,,entkernte,entkernt,cored,cored,Apfel entkernen und,289,7.61,314787
Apfel,apple,schenken,gift,,,,,schenkte,geschenkt,gifted,gifted,Apfel geschenkt,226,3.97,314787
Apfel,apple,vierteln,quarter,,,,,viertelte,geviertelt,quartered,quartered,Apfel vierteln,193,7.03,314787
Apfel,apple,stehlen,steal,,,,,stahl,gestohlen,stolen,stole,Apfel gestohlen,187,5.57,314787
Apfel,apple,erhalten,receive,,,,,erhielt,erhalten,received,received,Apfel erhalten,175,0.24,314787
Apfel,apple,raspeln,grate,,,,,raspelte,geraspelt,grated,grated,Apfel raspeln,157,6.74,314787
Apfel,apple,klauen,steal,,,,,klaute,geklaut,stolen,stole,Apfel geklaut,155,5.97,314787
Apfel,apple,genießen,enjoy,,,,,genoss,genossen,enjoyed,enjoyed,Apfel genießen,137,1.7,314787
Apfel,apple,zeigen,show,,,,,zeigte,gezeigt,shown,showed,Apfel zeigt,135,0.49,314787
Apfel,apple,teilen,share,,,,,teilte,geteilt,shared,shared,Apfel teilen,133,2.55,314787
Apfel,apple,halbieren,half,,,,,halbierte,halbiert,halved,halved,Apfel halbieren,127,5.86,314787
Apfel,apple,anbieten,offer,,,,,bot an,angeboten,offered,offered,Apfel angeboten,127,1.84,314787
