verb-eng,noun-eng,modal-eng,verb-ger,noun-ger,modal-ger,noun-tur,verb-tur,modal-tur,phrase-eng,phrase-ger,phrase_cutoff_after_subject-eng,phrase_cutoff_after_subject-ger,phrase-tur,phrase_cutoff_after_subject-tur,phrase-zho,modal-zho,noun-zho,verb-zho,phrase_cutoff_after_subject-zho
count,mathematician,has to,rechnen,Mathematiker,muss,matematikçi,saymak,zorunda,the mathematician has to count,der Mathematiker muss rechnen,the mathematician,der Mathematiker,matematikçi saymak zorunda,matematikçi,数学家必须计算,必须,数学家,计算,数学家
die,spider,has to,sterben,Spinne,muss,örümcek,ölmek,zorunda,the spider has to die,die Spinne muss sterben,the spider,die Spinne,örümcek ölmek zorunda,örümcek,蜘蛛必须死去,必须,蜘蛛,死去,蜘蛛
run,boy,has to,rennen,Junge,muss,çocuk,koşmak,zorunda,the boy has to run,der Junge muss rennen,the boy,der Junge,çocuk koşmak zorunda,çocuk,男孩必须奔跑,必须,男孩,奔跑,男孩
laugh,architect,has to,lachen,Architekt,muss,mimar,gülmek,zorunda,the architect has to laugh,der Architekt muss lachen,the architect,der Architekt,mimar gülmek zorunda,mimar,建筑师必须欢笑,必须,建筑师,欢笑,建筑师
work,man,has to,arbeiten,Mann,muss,adam,çalışmak,zorunda,the man has to work,der Mann muss arbeiten,the man,der Mann,adam çalışmak zorunda,adam,男人必须劳作,必须,男人,劳作,男人
sleep,teacher,has to,schlafen,Lehrer,muss,öğretmen,uyumak,zorunda,the teacher has to sleep,der Lehrer muss schlafen,the teacher,der Lehrer,öğretmen uyumak zorunda,öğretmen,教师必须入眠,必须,教师,入眠,教师
write,student,has to,schreiben,Student,muss,öğrenci,yazmak,zorunda,the student has to write,der Student muss schreiben,the student,der Student,öğrenci yazmak zorunda,öğrenci,学生必须书写,必须,学生,书写,学生
walk,person,has to,gehen,Mensch,muss,kişi,yürütmek,zorunda,the person has to walk,der Mensch muss gehen,the person,der Mensch,kişi yürütmek zorunda,kişi,行者必须前行,必须,行者,前行,行者
dance,woman,has to,tanzen,Frau,muss,kadın,dans,zorunda,the woman has to dance,die Frau muss tanzen,the woman,die Frau,kadın dans etmek zorunda,kadın,女子必须起舞,必须,女子,起舞,女子
agree,biologist,has to,zustimmen,Biologe,muss,biyolog,kabul,zorunda,the biologist has to agree,der Biologe muss zustimmen,the biologist,der Biologe,biyolog kabul etmek zorunda,biyolog,生物学家必须认同,必须,生物学家,认同,生物学家
