adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_complete-eng,phrase_complete-fre,phrase_complete-ger,phrase_complete-ita,phrase_complete-ned,phrase_complete-rus,phrase_complete-vie,phrase_complete-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho
sharp,aigu,spitzen,acuto,scherpe,острый,nhọn,銳,angle,angle,Winkel,angolo,hoek,угол,góc,角,sharp angle,angle aigu,spitzen Winkel,angolo acuto,scherpe hoek,острый угол,góc nhọn,銳角,I saw the sharp angle,J'ai vu l'angle aigu,Ich sah den spitzen Winkel,Ho visto l'angolo acuto,Ik zag de scherpe hoek,Я увидел острый угол,Tôi đã thấy góc nhọn,我看見了銳角,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了
scary,effrayante,gruselige,spaventosa,enge,страшного,đáng sợ,可怕的,ant,fourmi,Ameise,formica,mier,муравья,kiến,螞蟻,scary ant,fourmi effrayante,gruselige Ameise,formica spaventosa,enge mier,страшный муравей,kiến đáng sợ,可怕的螞蟻,I saw the scary ant,J'ai vu la fourmi effrayante,Ich sah die gruselige Ameise,Ho visto la formica spaventosa,Ik zag de enge mier,Я увидел страшного муравья,Tôi đã thấy con kiến đáng sợ,我看見了可怕的螞蟻,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
red,rouge,roten,rossa,rode,красное,đỏ,紅,apple,pomme,Apfel,mela,appel,яблоко,táo,蘋果,red apple,pomme rouge,roten Apfel,mela rossa,rode appel,красное яблоко,táo đỏ,紅蘋果,I saw the red apple,J'ai vu la pomme rouge,Ich sah den roten Apfel,Ho visto la mela rossa,Ik zag de rode appel,Я увидел красное яблоко,Tôi đã thấy quả táo đỏ,我看見了紅蘋果,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了
curved,incurvé,geschwungenen,curvo,gebogen,изогнутую,cong,彎曲,arch,arc,Bogen,arco,boog,арку,cầu vồng,拱門,curved arch,arc incurvé,geschwungenen Bogen,arco curvo,gebogen boog,изогнутая арка,cầu vồng cong,彎曲拱門,I saw the curved arch,J'ai vu l'arc incurvé,Ich sah den geschwungenen Bogen,Ho visto l'arco curvo,Ik zag de gebogen boog,Я увидел изогнутую арку,Tôi đã thấy cầu vồng cong,我看見了彎曲拱門,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了
strong,fort,starken,forte,sterke,сильную,mạnh mẽ,強硬,arm,bras,Arm,braccio,arm,руку,cánh tay,手段,strong arm,bras fort,starken Arm,braccio forte,sterke arm,сильная рука,cánh tay mạnh mẽ,強硬手段,I saw the strong arm,J'ai vu le bras fort,Ich sah den starken Arm,Ho visto il braccio forte,Ik zag de sterke arm,Я увидел сильную руку,Tôi đã thấy cánh tay mạnh mẽ,我看見了強硬手段,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
strong,forte,starke,forte,sterke,сильную,hùng mạnh,強大,army,armée,Armee,esercito,leger,армию,quân đội,軍隊,strong army,armée forte,starke Armee,esercito forte,sterke leger,сильная армия,quân đội hùng mạnh,強大的軍隊,I saw the strong army,J'ai vu l'armée forte,Ich sah die starke Armee,Ho visto il esercito forte,Ik zag het sterke leger,Я увидел сильную армию,Tôi đã thấy quân đội hùng mạnh,我看見了強大的軍隊,I saw the,J'ai vu l',Ich sah die,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
cute,mignon,süße,carino,schattige,милого,đáng yêu,可愛的,baby,bébé,Baby,bambino,baby,ребёнка,em bé,寶寶,cute baby,bébé mignon,süße Baby,bambino carino,schattige baby,милый ребенок,em bé đáng yêu,可愛的寶寶,I saw the cute baby,J'ai vu le bébé mignon,Ich sah das süße Baby,Ho visto il bambino carino,Ik zag de schattige baby,Я увидел милого ребёнка,Tôi đã thấy em bé đáng yêu,我看見了可愛的寶寶,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
heavy,lourd,schwere,pesante,zware,тяжёлую,nặng,重型,bag,sac,Tasche,borsa,tas,сумку,túi,沙袋,heavy bag,sac lourd,schwere Tasche,borsa pesante,zware tas,тяжелая сумка,túi nặng,重型沙袋,I saw the heavy bag,J'ai vu le sac lourd,Ich sah die schwere Tasche,Ho visto la borsa pesante,Ik zag de zware tas,Я увидел тяжёлую сумку,Tôi đã thấy cái túi nặng,我看見了重型沙袋,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
round,ronde,runde,rotonda,ronde,круглый,tròn,圓,ball,balle,Kugel,palla,bal,мяч,bóng,球,round ball,balle ronde,runde Kugel,palla rotonda,ronde bal,круглый мяч,bóng tròn,圓球,I saw the round ball,J'ai vu la balle ronde,Ich sah die runde Kugel,Ho visto la palla rotonda,Ik zag de ronde bal,Я увидел круглый мяч,Tôi đã thấy quả bóng tròn,我看見了圓球,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了
tight,serrée,enge,stretta,strakke,плотную,chặt,緊繃的,band,bande,Band,fascia,band,ленту,dải băng,束帶,tight band,bande serrée,enge Band,fascia stretta,strakke band,плотная лента,dải băng chặt,緊繃的束帶,I saw the tight band,J'ai vu la bande serrée,Ich sah das enge Band,Ho visto la fascia stretta,Ik zag de strakke band,Я увидел плотную ленту,Tôi đã thấy dải băng chặt,我看見了緊繃的束帶,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
