,object-eng,object-jap,object-rus,object-tur,object-zho,phrase-eng,phrase-jap,phrase-rus,phrase-tur,phrase-zho,subject-eng,subject-jap,subject-rus,subject-tur,subject-zho,verb-eng,verb-jap,verb-rus,verb-tur,verb-zho
0,angle,角度,угол,açıyı,角度,the mathematician measures the angle,数学者は角度を測る,математик измеряет угол,matematikçi açıyı ölçer,数学家测量角度,the mathematician,数学者,математик,matematikçi,数学家,measures,測る,измеряет,ölçer,测量
1,ant,蟻,муравья,karıncayı,蚂蚁,the spider kills the ant,蜘蛛は蟻を殺す,паук убивает муравья,örümcek karıncayı öldürür,蜘蛛杀死蚂蚁,the spider,蜘蛛,паук,örümcek,蜘蛛,kills,殺す,убивает,öldürür,杀死
2,apple,リンゴ,яблоко,elmayı,苹果,the boy eats the apple,少年はリンゴを食べる,мальчик ест яблоко,oğlan elmayı yer,男孩吃苹果,the boy,少年,мальчик,oğlan,男孩,eats,食べる,ест,yer,吃
3,arch,アーチ,арку,kemeri,拱门,the architect builds the arch,建築家はアーチを建てる,архитектор строит арку,mimar kemeri inşa eder,建筑师建造拱门,the architect,建築家,архитектор,mimar,建筑师,builds,建てる,строит,inşa eder,建造
4,arm,腕,руку,kolu,手臂,the man grabs the arm,男は腕を掴む,мужчина хватает руку,adam kolu tutar,男人抓住手臂,the man,男,мужчина,adam,男人,grabs,掴む,хватает,tutar,抓住
5,army,軍隊,армию,orduya,军队,the general attacks the army,将軍は軍隊を攻撃する,генерал атакует армию,general orduya saldırır,将军进攻军队,the general,将軍,генерал,general,将军,attacks,攻撃する,атакует,saldırır,进攻
6,baby,赤ちゃん,ребенка,bebeği,婴儿,the mother holds the baby,母親は赤ちゃんを抱く,мать держит ребенка,anne bebeği tutar,母亲抱着婴儿,the mother,母親,мать,anne,母亲,holds,抱く,держит,tutar,抱着
7,bag,袋,мешок,çantayı,袋子,the worker fills the bag,労働者は袋を詰める,рабочий наполняет мешок,işçi çantayı doldurur,工人装满袋子,the worker,労働者,рабочий,işçi,工人,fills,詰める,наполняет,doldurur,装满
8,ball,ボール,мяч,topa,足球,the sportsman kicks the ball,スポーツマンはボールを蹴る,спорстсмен пинает мяч,sporcu topa vurur,运动员踢足球,the sportsman,スポーツマン,спортсмен,sporcu,运动员,kicks,蹴る,пинает,vurur,踢
9,band,バンド,ленту,bandı,带子,the jogger stretches the band,ジョガーはバンドを伸ばす,бегун растягивает ленту,koşucu bandı gerer,慢跑者拉伸带子,the jogger,ジョガー,бегун,koşucu,慢跑者,stretches,伸ばす,растягивает,gerer,拉伸
10,basin,洗面器,раковину,lavaboyu,水盆,the janitor cleans the basin,用務員は洗面器を掃除する,уборщик чистит раковину,hademe lavaboyu temizler,看门人清洗水盆,the janitor,用務員,уборщик,hademe,看门人,cleans,掃除する,чистит,temizler,清洗
11,basket,籠,корзину,sepeti,篮子,the teacher brings the basket,教師は籠を持ってくる,учитель приносит корзину,öğretmen sepeti getirir,老师带来篮子,the teacher,教師,учитель,öğretmen,老师,brings,持ってくる,приносит,getirir,带来
